price,wide_weth_val,wide_usdc_val,base_weth_val,base_usdc_val,limit_weth_val,limit_usdc_val,rebalance_count
2558.13,254.68,255.96,2287.08,2308.63,0.00,5.14,0
2558.23,254.67,255.98,2286.83,2308.97,0.00,5.14,0
2562.64,254.16,256.92,2276.57,2323.16,0.00,5.14,0
2567.75,253.57,258.01,2264.68,2339.56,0.00,5.14,0
2566.98,253.66,257.85,2266.46,2337.11,0.00,5.14,0
2571.49,253.14,258.81,2255.95,2351.59,0.00,5.14,0
2569.83,253.33,258.46,2259.83,2346.25,0.00,5.14,0
2565.39,253.84,257.51,2270.18,2331.98,0.00,5.14,0
2563.67,254.04,257.14,2274.18,2326.46,0.00,5.14,0
2560.64,254.39,256.49,2281.24,2316.70,0.00,5.14,0
2562.26,254.20,256.84,2277.46,2321.93,0.00,5.14,0
2562.41,254.19,256.87,2277.10,2322.42,0.00,5.14,0
2562.02,254.23,256.79,2278.03,2321.14,0.00,5.14,0
2565.25,253.86,257.48,2270.50,2331.53,0.00,5.14,0
2562.79,254.14,256.95,2276.23,2323.62,0.00,5.14,0
2566.68,253.70,257.79,2267.16,2336.15,0.00,5.14,0
2573.18,252.95,259.18,2252.00,2357.02,0.00,5.14,0
2574.70,252.77,259.50,2248.46,2361.89,0.00,5.14,0
2574.09,252.84,259.37,2249.89,2359.92,0.00,5.14,0
2577.38,252.46,260.07,2242.19,2370.49,0.00,5.14,0
2574.93,252.75,259.55,2247.91,2362.63,0.00,5.14,0
2575.78,252.65,259.73,2245.92,2365.37,0.00,5.14,0
2574.68,252.78,259.50,2248.51,2361.82,0.00,5.14,0
2574.04,252.85,259.36,2249.99,2359.78,0.00,5.14,0
2572.04,253.08,258.93,2254.65,2353.37,0.00,5.14,0
2568.46,253.49,258.17,2263.02,2341.86,0.00,5.14,0
2569.79,253.34,258.45,2259.92,2346.12,0.00,5.14,0
2570.62,253.24,258.63,2257.97,2348.81,0.00,5.14,0
2569.44,253.38,258.38,2260.72,2345.01,0.00,5.14,0
2569.33,253.39,258.35,2260.98,2344.66,0.00,5.14,0
2569.49,253.37,258.39,2260.62,2345.16,0.00,5.14,0
2572.37,253.04,259.00,2253.89,2354.42,0.00,5.14,0
2573.50,252.91,259.24,2251.24,2358.06,0.00,5.14,0
2578.40,252.35,260.29,2239.80,2373.77,0.00,5.14,0
2574.23,252.83,259.40,2249.55,2360.39,0.00,5.14,0
2568.37,253.50,258.15,2263.22,2341.57,0.00,5.14,0
2567.16,253.64,257.89,2266.05,2337.68,0.00,5.14,0
2566.02,253.77,257.64,2268.71,2334.00,0.00,5.14,0
2567.32,253.62,257.92,2265.67,2338.20,0.00,5.14,0
2572.59,253.02,259.05,2253.37,2355.13,0.00,5.14,0
2571.27,253.17,258.77,2256.45,2350.90,0.00,5.14,0
2568.97,253.43,258.28,2261.82,2343.50,0.00,5.14,0
2567.47,253.61,257.96,2265.32,2338.68,0.00,5.14,0
2567.28,253.63,257.92,2265.76,2338.08,0.00,5.14,0
2566.52,253.71,257.75,2267.54,2335.62,0.00,5.14,0
2566.63,253.70,257.78,2267.29,2335.97,0.00,5.14,0
2566.53,253.71,257.75,2267.52,2335.65,0.00,5.14,0
2570.84,253.22,258.68,2257.47,2349.50,0.00,5.14,0
2572.61,253.01,259.05,2253.33,2355.19,0.00,5.14,0
2573.27,252.94,259.19,2251.79,2357.31,0.00,5.14,0
2573.06,252.96,259.15,2252.27,2356.64,0.00,5.14,0
2569.52,253.37,258.39,2260.54,2345.27,0.00,5.14,0
2572.86,252.98,259.11,2252.74,2356.01,0.00,5.14,0
2569.51,253.37,258.39,2260.57,2345.22,0.00,5.14,0
2567.99,253.55,258.07,2264.12,2340.34,0.00,5.14,0
2568.13,253.53,258.10,2263.77,2340.81,0.00,5.14,0
2569.15,253.41,258.31,2261.40,2344.08,0.00,5.14,0
2570.26,253.28,258.55,2258.82,2347.63,0.00,5.14,0
2569.54,253.37,258.40,2260.50,2345.32,0.00,5.14,0
2571.09,253.19,258.73,2256.87,2350.32,0.00,5.14,0
2575.28,252.71,259.62,2247.09,2363.76,0.00,5.14,0
2578.81,252.30,260.38,2238.85,2375.08,0.00,5.14,0
2579.42,252.23,260.51,2237.42,2377.04,0.00,5.14,0
2585.03,251.58,261.70,2224.28,2395.03,0.00,5.14,0
2587.40,251.30,262.21,2218.73,2402.61,0.00,5.14,0
2580.98,252.05,260.84,2233.76,2382.05,0.00,5.14,0
2584.18,251.68,261.52,2226.28,2392.29,0.00,5.14,0
2581.78,251.95,261.01,2231.90,2384.60,0.00,5.14,0
2581.47,251.99,260.94,2232.62,2383.61,0.00,5.14,0
2579.14,252.26,260.45,2238.08,2376.13,0.00,5.14,0
2577.16,252.49,260.03,2242.69,2369.80,0.00,5.14,0
2576.84,252.53,259.96,2243.46,2368.75,0.00,5.14,0
2577.27,252.48,260.05,2242.45,2370.14,0.00,5.14,0
2573.92,252.86,259.33,2250.28,2359.38,0.00,5.14,0
2575.86,252.64,259.75,2245.75,2365.61,0.00,5.14,0
2572.19,253.06,258.96,2254.31,2353.84,0.00,5.14,0
2571.51,253.14,258.82,2255.89,2351.67,0.00,5.14,0
2569.91,253.32,258.48,2259.63,2346.52,0.00,5.14,0
2566.30,253.74,257.70,2268.06,2334.91,0.00,5.14,0
2567.84,253.56,258.04,2264.45,2339.88,0.00,5.14,0
2567.58,253.59,257.98,2265.06,2339.04,0.00,5.14,0
2567.62,253.59,257.99,2264.96,2339.17,0.00,5.14,0
2566.42,253.73,257.73,2267.78,2335.29,0.00,5.14,0
2561.95,254.24,256.77,2278.19,2320.92,0.00,5.14,0
2565.12,253.88,257.45,2270.81,2331.12,0.00,5.14,0
2565.14,253.87,257.46,2270.76,2331.18,0.00,5.14,0
2567.73,253.58,258.01,2264.73,2339.50,0.00,5.14,0
2571.72,253.12,258.86,2255.41,2352.33,0.00,5.14,0
2568.85,253.45,258.25,2262.12,2343.10,0.00,5.14,0
2567.62,253.59,257.99,2264.98,2339.16,0.00,5.14,0
2569.43,253.38,258.38,2260.74,2344.99,0.00,5.14,0
2571.24,253.17,258.76,2256.53,2350.78,0.00,5.14,0
2572.24,253.06,258.97,2254.21,2353.99,0.00,5.14,0
2571.76,253.11,258.87,2255.32,2352.45,0.00,5.14,0
2567.90,253.56,258.05,2264.32,2340.06,0.00,5.14,0
2567.13,253.64,257.88,2266.12,2337.58,0.00,5.14,0
2566.85,253.68,257.82,2266.77,2336.68,0.00,5.14,0
2568.84,253.45,258.25,2262.14,2343.07,0.00,5.14,0
2568.33,253.51,258.14,2263.31,2341.45,0.00,5.14,0
2564.14,253.99,257.24,2273.09,2327.96,0.00,5.14,0
2564.59,253.94,257.34,2272.04,2329.41,0.00,5.14,0
2563.30,254.08,257.06,2275.04,2325.28,0.00,5.14,0
2557.86,254.71,255.90,2287.69,2307.77,0.00,5.14,0
2556.40,254.88,255.59,2291.09,2303.07,0.00,5.14,0
2556.94,254.81,255.70,2289.85,2304.79,0.00,5.14,0
2556.05,254.92,255.51,2291.90,2301.94,0.00,5.14,0
2560.36,254.42,256.44,2281.87,2315.83,0.00,5.14,0
2561.95,254.24,256.77,2278.19,2320.91,0.00,5.14,0
2562.26,254.20,256.84,2277.47,2321.92,0.00,5.14,0
2560.20,254.44,256.40,2282.26,2315.30,0.00,5.14,0
2559.75,254.49,256.30,2283.31,2313.84,0.00,5.14,0
2558.57,254.63,256.05,2286.04,2310.06,0.00,5.14,0
2557.48,254.75,255.82,2288.59,2306.53,0.00,5.14,0
2562.43,254.18,256.88,2277.07,2322.46,0.00,5.14,0
2558.77,254.60,256.09,2285.59,2310.69,0.00,5.14,0
2556.09,254.91,255.52,2291.82,2302.06,0.00,5.14,0
2554.03,255.15,255.08,2296.59,2295.44,0.00,5.14,0
2553.34,255.23,254.93,2298.19,2293.22,0.00,5.14,0
2554.75,255.07,255.23,2294.93,2297.74,0.00,5.14,0
2550.96,255.50,254.42,2303.73,2285.53,0.04,5.10,0
2554.21,255.13,255.12,2296.19,2295.99,0.00,5.14,0
2551.74,255.41,254.59,2301.92,2288.05,0.03,5.11,0
2551.21,255.47,254.47,2303.15,2286.34,0.04,5.10,0
2548.66,255.76,253.93,2309.06,2278.12,0.09,5.05,0
2550.04,255.60,254.22,2305.87,2282.56,0.06,5.08,0
2553.61,255.19,254.99,2297.56,2294.09,0.00,5.14,0
2550.34,255.57,254.29,2305.16,2283.55,0.06,5.08,0
2551.55,255.43,254.55,2302.35,2287.45,0.03,5.11,0
2550.13,255.59,254.24,2305.65,2282.86,0.06,5.08,0
2548.77,255.75,253.95,2308.80,2278.48,0.09,5.05,0
2550.95,255.50,254.42,2303.76,2285.49,0.04,5.10,0
2545.33,256.14,253.21,2316.78,2267.38,0.17,4.98,0
2544.19,256.27,252.97,2319.43,2263.68,0.19,4.95,0
2544.89,256.19,253.12,2317.80,2265.96,0.18,4.97,0
2543.97,256.30,252.92,2319.93,2262.99,0.20,4.95,0
2543.57,256.34,252.83,2320.86,2261.70,0.20,4.94,0
2544.16,256.28,252.96,2319.51,2263.58,0.19,4.95,0
2545.35,256.14,253.22,2316.73,2267.45,0.17,4.98,0
2547.62,255.88,253.70,2311.48,2274.75,0.12,5.02,0
2547.87,255.85,253.76,2310.90,2275.57,0.11,5.03,0
2548.54,255.78,253.90,2309.35,2277.73,0.10,5.04,0
2548.63,255.76,253.92,2309.13,2278.02,0.09,5.05,0
2550.86,255.51,254.40,2303.95,2285.23,0.05,5.10,0
2550.30,255.57,254.28,2305.25,2283.41,0.06,5.08,0
2550.92,255.50,254.41,2303.81,2285.42,0.04,5.10,0
2549.59,255.66,254.12,2306.92,2281.10,0.07,5.07,0
2553.06,255.26,254.87,2298.85,2292.30,0.00,5.14,0
2552.57,255.31,254.76,2299.99,2290.72,0.01,5.13,0
2552.17,255.36,254.68,2300.92,2289.43,0.02,5.12,0
2552.79,255.29,254.81,2299.48,2291.43,0.00,5.14,0
2552.65,255.31,254.78,2299.81,2290.98,0.01,5.13,0
2553.45,255.21,254.95,2297.95,2293.56,0.00,5.14,0
2553.80,255.17,255.03,2297.13,2294.70,0.00,5.14,0
2553.12,255.25,254.88,2298.72,2292.49,0.00,5.14,0
2552.92,255.27,254.84,2299.19,2291.84,0.00,5.14,0
2551.19,255.47,254.47,2303.20,2286.26,0.04,5.10,0
2548.24,255.81,253.84,2310.04,2276.76,0.10,5.04,0
2550.80,255.52,254.38,2304.11,2285.01,0.05,5.09,0
2553.33,255.23,254.93,2298.23,2293.16,0.00,5.14,0
2551.50,255.44,254.53,2302.48,2287.27,0.03,5.11,0
2552.31,255.34,254.71,2300.60,2289.88,0.01,5.13,0
2548.67,255.76,253.93,2309.03,2278.16,0.09,5.05,0
2551.30,255.46,254.49,2302.94,2286.62,0.04,5.10,0
2551.97,255.38,254.64,2301.38,2288.80,0.02,5.12,0
2546.35,256.03,253.43,2314.42,2270.66,0.14,5.00,0
2546.30,256.03,253.42,2314.54,2270.50,0.14,5.00,0
2547.77,255.86,253.73,2311.13,2275.24,0.11,5.03,0
2545.23,256.15,253.19,2317.02,2267.05,0.17,4.97,0
2544.76,256.21,253.09,2318.10,2265.54,0.18,4.96,0
2547.66,255.88,253.71,2311.38,2274.90,0.11,5.03,0
2549.08,255.71,254.02,2308.09,2279.47,0.08,5.06,0
2549.46,255.67,254.10,2307.22,2280.69,0.08,5.06,0
2549.02,255.72,254.00,2308.23,2279.28,0.09,5.06,0
2546.66,255.99,253.50,2313.71,2271.65,0.14,5.00,0
2545.62,256.11,253.27,2316.10,2268.32,0.16,4.98,0
2547.09,255.94,253.59,2312.71,2273.04,0.13,5.01,0
2547.05,255.95,253.58,2312.81,2272.91,0.13,5.01,0
2545.45,256.13,253.24,2316.51,2267.75,0.16,4.98,0
2547.44,255.90,253.66,2311.90,2274.17,0.12,5.02,0
2547.95,255.84,253.77,2310.70,2275.84,0.11,5.03,0
2547.67,255.87,253.71,2311.35,2274.93,0.11,5.03,0
2549.25,255.69,254.05,2307.69,2280.02,0.08,5.06,0
2549.29,255.69,254.06,2307.60,2280.15,0.08,5.06,0
2550.82,255.51,254.39,2304.04,2285.10,0.05,5.09,0
2550.99,255.50,254.43,2303.66,2285.63,0.04,5.10,0
2550.71,255.53,254.37,2304.30,2284.74,0.05,5.09,0
2550.16,255.59,254.25,2305.57,2282.97,0.06,5.08,0
2550.08,255.60,254.23,2305.77,2282.70,0.06,5.08,0
2549.58,255.66,254.12,2306.92,2281.10,0.07,5.07,0
2548.01,255.84,253.79,2310.57,2276.03,0.11,5.03,0
2546.46,256.01,253.45,2314.16,2271.02,0.14,5.00,0
2548.20,255.81,253.83,2310.14,2276.62,0.10,5.04,0
2540.21,256.73,252.11,2328.64,2250.85,0.28,4.86,0
2544.87,256.19,253.11,2317.84,2265.90,0.18,4.97,0
2544.59,256.23,253.05,2318.50,2264.98,0.18,4.96,0
2543.64,256.33,252.85,2320.69,2261.93,0.20,4.94,0
2549.88,255.62,254.19,2306.24,2282.04,0.07,5.07,0
2549.93,255.62,254.20,2306.12,2282.21,0.07,5.07,0
2549.88,255.62,254.19,2306.23,2282.05,0.07,5.07,0
2550.00,255.61,254.21,2305.96,2282.43,0.06,5.08,0
2550.01,255.61,254.22,2305.94,2282.46,0.06,5.08,0
2548.89,255.74,253.98,2308.53,2278.87,0.09,5.05,0
2548.15,255.82,253.82,2310.26,2276.46,0.10,5.04,0
2545.18,256.16,253.18,2317.12,2266.90,0.17,4.97,0
2543.83,256.31,252.89,2320.27,2262.52,0.20,4.94,0
2546.02,256.06,253.36,2315.19,2269.59,0.15,4.99,0
2544.28,256.26,252.99,2319.22,2263.99,0.19,4.95,0
2541.94,256.53,252.48,2324.63,2256.44,0.24,4.90,0
2540.59,256.68,252.19,2327.77,2252.06,0.27,4.87,0
2537.27,257.06,251.48,2335.45,2241.33,0.34,4.80,0
2538.09,256.97,251.66,2333.54,2244.00,0.32,4.82,0
2537.35,257.05,251.50,2335.25,2241.61,0.34,4.80,0
2537.70,257.01,251.57,2334.45,2242.72,0.33,4.81,0
2541.84,256.54,252.46,2324.87,2256.10,0.24,4.90,0
2543.98,256.30,252.92,2319.91,2263.02,0.19,4.95,0
2545.04,256.18,253.15,2317.47,2266.42,0.17,4.97,0
2544.52,256.23,253.04,2318.66,2264.76,0.18,4.96,0
2541.78,256.55,252.45,2325.00,2255.92,0.24,4.90,0
2538.78,256.89,251.80,2331.95,2246.22,0.31,4.83,0
2538.08,256.97,251.65,2333.56,2243.97,0.32,4.82,0
2537.83,257.00,251.60,2334.14,2243.16,0.33,4.81,0
2537.96,256.98,251.63,2333.84,2243.57,0.33,4.81,0
2536.58,257.14,251.33,2337.03,2239.12,0.35,4.78,0
2536.50,257.15,251.31,2337.21,2238.86,0.36,4.78,0
2539.60,256.79,251.98,2330.05,2248.88,0.29,4.85,0
2541.12,256.62,252.31,2326.54,2253.78,0.26,4.88,0
2542.43,256.47,252.59,2323.51,2258.01,0.23,4.91,0
2542.91,256.42,252.69,2322.39,2259.56,0.22,4.92,0
2543.68,256.33,252.86,2320.61,2262.04,0.20,4.94,0
2544.45,256.24,253.02,2318.82,2264.53,0.18,4.96,0
2544.38,256.25,253.01,2318.99,2264.30,0.19,4.95,0
2543.42,256.36,252.80,2321.21,2261.21,0.21,4.93,0
2540.71,256.67,252.22,2327.48,2252.46,0.27,4.87,0
2538.07,256.97,251.65,2333.59,2243.93,0.32,4.82,0
2535.35,257.28,251.07,2339.88,2235.13,0.38,4.76,0
2534.91,257.33,250.97,2340.89,2233.72,0.39,4.75,0
2534.71,257.35,250.93,2341.37,2233.05,0.40,4.74,0
2534.25,257.40,250.83,2342.41,2231.59,0.41,4.73,0
2536.12,257.19,251.23,2338.11,2237.61,0.37,4.77,0
2533.63,257.47,250.70,2343.85,2229.57,0.42,4.72,0
2533.75,257.46,250.72,2343.59,2229.94,0.42,4.72,0
2534.07,257.42,250.79,2342.85,2230.98,0.41,4.73,0
2534.56,257.37,250.90,2341.71,2232.57,0.40,4.74,0
2534.24,257.40,250.83,2342.45,2231.54,0.41,4.73,0
2529.10,257.99,249.72,2354.32,2214.90,0.52,4.62,0
2529.98,257.89,249.91,2352.28,2217.76,0.50,4.64,0
2535.06,257.31,251.00,2340.55,2234.19,0.39,4.75,0
2533.38,257.50,250.64,2344.42,2228.77,0.42,4.72,0
2533.45,257.49,250.66,2344.27,2228.99,0.42,4.72,0
2538.67,256.90,251.78,2332.20,2245.87,0.31,4.83,0
2539.75,256.78,252.01,2329.70,2249.36,0.29,4.85,0
2536.68,257.13,251.35,2336.81,2239.43,0.35,4.79,0
2533.36,257.50,250.64,2344.48,2228.69,0.42,4.71,0
2533.39,257.50,250.64,2344.42,2228.78,0.42,4.72,0
2531.44,257.72,250.22,2348.92,2222.48,0.47,4.67,0
2532.99,257.55,250.56,2345.32,2227.51,0.43,4.71,0
2532.94,257.55,250.55,2345.46,2227.32,0.43,4.71,0
2534.66,257.36,250.92,2341.48,2232.89,0.40,4.74,0
2537.33,257.05,251.49,2335.31,2241.52,0.34,4.80,0
2540.04,256.74,252.08,2329.03,2250.30,0.28,4.86,0
2540.17,256.73,252.10,2328.73,2250.71,0.28,4.86,0
2542.58,256.46,252.62,2323.16,2258.49,0.23,4.92,0
2539.94,256.76,252.05,2329.26,2249.98,0.28,4.86,0
2538.05,256.97,251.65,2333.63,2243.87,0.32,4.82,0
2535.49,257.26,251.10,2339.55,2235.59,0.38,4.76,0
2535.98,257.21,251.20,2338.43,2237.16,0.37,4.77,0
2537.08,257.08,251.44,2335.89,2240.71,0.34,4.80,0
2537.42,257.04,251.51,2335.10,2241.81,0.34,4.80,0
2537.11,257.08,251.45,2335.81,2240.83,0.34,4.80,0
2540.83,256.65,252.24,2327.20,2252.85,0.26,4.88,0
2539.67,256.79,252.00,2329.89,2249.10,0.29,4.85,0
2541.08,256.63,252.30,2326.62,2253.67,0.26,4.88,0
2540.27,256.72,252.12,2328.51,2251.03,0.28,4.86,0
2538.92,256.87,251.83,2331.64,2246.66,0.30,4.84,0
2540.24,256.72,252.12,2328.58,2250.93,0.28,4.86,0
2541.59,256.57,252.41,2325.44,2255.30,0.25,4.89,0
2541.60,256.57,252.41,2325.42,2255.34,0.25,4.89,0
2538.52,256.92,251.75,2332.55,2245.38,0.31,4.83,0
2538.89,256.88,251.83,2331.70,2246.57,0.31,4.83,0
2533.87,257.45,250.75,2343.29,2230.36,0.41,4.73,0
2530.35,257.85,249.99,2351.42,2218.97,0.49,4.65,0
2527.87,258.13,249.46,2357.14,2210.93,0.54,4.59,0
2524.78,258.48,248.79,2364.27,2200.91,0.61,4.53,0
2522.01,258.79,248.19,2370.65,2191.94,0.67,4.47,0
2525.06,258.45,248.85,2363.63,2201.81,0.60,4.53,0
2524.12,258.55,248.65,2365.79,2198.78,0.62,4.51,0
2526.18,258.32,249.09,2361.06,2205.44,0.58,4.56,0
2529.06,257.99,249.71,2354.40,2214.78,0.52,4.62,0
2524.53,258.51,248.74,2364.85,2200.11,0.62,4.52,0
2530.51,245.06,246.41,2196.81,2226.39,165.48,5.55,1
2532.02,244.89,246.72,2193.37,2231.15,164.50,6.63,1
2530.06,245.11,246.31,2197.81,2225.00,165.77,5.24,1
2530.10,245.11,246.32,2197.73,2225.11,165.74,5.26,1
2533.30,244.75,246.99,2190.47,2235.14,163.67,7.54,1
2533.08,244.77,246.94,2190.97,2234.45,163.81,7.39,1
2535.24,244.53,247.39,2186.06,2241.22,162.41,8.93,1
2534.32,244.63,247.20,2188.14,2238.35,163.01,8.27,1
2530.15,245.10,246.33,2197.62,2225.26,165.71,5.30,1
2529.09,245.22,246.11,2200.03,2221.94,166.40,4.54,1
2530.16,245.10,246.33,2197.59,2225.30,165.70,5.31,1
2530.05,245.11,246.31,2197.85,2224.95,165.78,5.23,1
2531.43,244.96,246.60,2194.71,2229.29,164.88,6.21,1
2531.49,244.95,246.61,2194.59,2229.46,164.85,6.25,1
2529.13,245.21,246.12,2199.94,2222.05,166.37,4.57,1
2525.23,245.65,245.31,2208.78,2209.81,168.90,1.78,1
2521.86,246.02,244.60,2216.41,2199.24,168.81,1.64,1
2525.05,245.67,245.27,2209.18,2209.26,169.01,1.66,1
2530.37,245.08,246.38,2197.11,2225.97,165.57,5.46,1
2527.40,245.41,245.76,2203.85,2216.64,167.49,3.34,1
2529.44,245.18,246.19,2199.22,2223.05,166.17,4.79,1
2530.50,245.06,246.41,2196.82,2226.37,165.48,5.55,1
2530.15,245.10,246.33,2197.62,2225.26,165.71,5.30,1
2529.89,245.13,246.28,2198.21,2224.45,165.88,5.11,1
2530.36,245.08,246.38,2197.14,2225.93,165.57,5.45,1
2525.79,245.59,245.42,2207.51,2211.58,168.54,2.19,1
2511.66,247.16,242.47,2239.46,2167.16,168.20,1.57,1
2516.46,246.62,243.48,2228.62,2182.25,168.49,1.60,1
2517.29,246.53,243.65,2226.76,2184.85,168.54,1.61,1
2513.74,246.93,242.91,2234.78,2173.68,168.33,1.59,1
2510.78,247.25,242.29,2241.45,2164.38,168.15,1.56,1
2510.82,247.25,242.30,2241.36,2164.50,168.15,1.56,1
2513.23,246.98,242.80,2235.91,2172.10,168.30,1.58,1
2515.56,246.72,243.29,2230.66,2179.42,168.44,1.60,1
2503.38,248.07,240.74,2258.14,2141.04,167.71,1.51,1
2499.87,248.46,240.00,2266.05,2129.96,167.50,1.49,1
2486.23,249.96,237.14,2296.68,2086.85,166.68,1.39,1
2502.89,248.13,240.64,2259.24,2139.50,167.68,1.51,1
2504.03,248.00,240.88,2256.66,2143.11,167.75,1.52,1
2509.13,247.44,241.94,2245.17,2159.18,168.05,1.55,1
2512.21,247.09,242.59,2238.22,2168.88,168.24,1.57,1
2506.05,247.78,241.30,2252.11,2149.48,167.87,1.53,1
2513.56,246.95,242.87,2235.18,2173.12,168.32,1.58,1
2511.18,247.21,242.37,2240.55,2165.64,168.18,1.57,1
2512.99,247.01,242.75,2236.45,2171.35,168.28,1.58,1
2514.37,246.86,243.04,2233.35,2175.67,168.37,1.59,1
2515.92,246.68,243.36,2229.85,2180.55,168.46,1.60,1
2513.69,246.93,242.90,2234.88,2173.53,168.33,1.58,1
2510.07,247.33,242.14,2243.05,2162.14,168.11,1.56,1
2509.74,247.37,242.07,2243.81,2161.09,168.09,1.56,1
2514.05,246.89,242.97,2234.06,2174.68,168.35,1.59,1
2516.55,246.61,243.49,2228.43,2182.53,168.50,1.61,1
2516.15,246.66,243.41,2229.31,2181.29,168.47,1.60,1
2511.19,247.21,242.37,2240.52,2165.67,168.18,1.57,1
2510.74,247.26,242.28,2241.54,2164.25,168.15,1.56,1
2505.42,247.85,241.17,2253.55,2147.48,167.83,1.53,1
2507.38,247.63,241.58,2249.11,2153.68,167.95,1.54,1
2502.84,248.13,240.62,2259.36,2139.34,167.68,1.51,1
2505.73,247.81,241.23,2252.84,2148.47,167.85,1.53,1
2513.27,246.98,242.81,2235.84,2172.20,168.30,1.58,1
2515.74,246.70,243.33,2230.25,2179.99,168.45,1.60,1
2521.18,246.10,244.46,2217.94,2197.11,168.77,1.64,1
2524.27,245.76,245.11,2210.95,2206.80,168.97,1.65,1
2523.80,245.81,245.01,2212.01,2205.34,168.94,1.65,1
2527.32,245.42,245.74,2204.03,2216.39,167.54,3.28,1
2527.26,245.42,245.73,2204.17,2216.20,167.58,3.24,1
2524.93,245.68,245.24,2209.46,2208.87,169.02,1.65,1
2522.63,245.94,244.76,2214.66,2201.67,168.86,1.65,1
2519.40,246.30,244.09,2221.98,2191.49,168.67,1.63,1
2511.58,247.16,242.46,2239.64,2166.91,168.20,1.57,1
2513.68,246.93,242.89,2234.91,2173.50,168.33,1.58,1
2513.28,246.98,242.81,2235.82,2172.24,168.30,1.58,1
2508.85,247.47,241.88,2245.81,2158.29,168.04,1.55,1
2511.40,247.19,242.42,2240.06,2166.32,168.19,1.57,1
2510.22,247.32,242.17,2242.71,2162.62,168.12,1.56,1
2507.81,247.58,241.67,2248.15,2155.02,167.97,1.54,1
2501.50,248.28,240.34,2262.38,2135.10,167.60,1.50,1
2485.33,250.06,236.95,2298.69,2084.01,166.63,1.38,1
2481.02,250.53,236.04,2308.34,2070.36,166.37,1.35,1
2487.17,249.86,237.34,2294.57,2089.82,166.74,1.40,1
2483.17,250.30,236.49,2303.53,2077.17,166.50,1.37,1
2486.62,249.92,237.22,2295.80,2088.09,166.71,1.39,1
2489.48,249.60,237.82,2289.38,2097.15,166.88,1.41,1
2471.42,251.58,234.02,2329.79,2039.92,165.80,1.28,1
2478.73,250.78,235.56,2313.47,2063.09,166.23,1.33,1
2479.96,250.65,235.82,2310.70,2067.02,166.31,1.34,1
2484.79,250.12,236.84,2299.90,2082.30,166.60,1.38,1
2470.13,251.72,233.75,2332.67,2035.82,165.72,1.27,1
2472.48,251.46,234.24,2327.43,2043.28,165.86,1.29,1
2473.91,251.31,234.54,2324.24,2047.81,165.94,1.30,1
2479.86,250.66,235.80,2310.94,2066.68,166.30,1.34,1
2481.94,250.43,236.24,2306.28,2073.28,166.43,1.36,1
